Title,Author,Downloads,Book_URL
Linnet: A Romance,Grant Allen,71055 downloads,https://www.gutenberg.org/ebooks/48296
The Woman in White,Wilkie Collins,71020 downloads,https://www.gutenberg.org/ebooks/583
The Passionate Elopement,Compton MacKenzie,70898 downloads,https://www.gutenberg.org/ebooks/38177
The Treasure of Pearls: A Romance of Adventures in California,Gustave Aimard,70831 downloads,https://www.gutenberg.org/ebooks/46276
The Romance of Tristan and Iseult,Joseph Bédier,70733 downloads,https://www.gutenberg.org/ebooks/14244
The Love Letters of Henry VIII to Anne Boleyn; With Notes,King of England Henry VIII,70577 downloads,https://www.gutenberg.org/ebooks/32155
One Woman: Being the Second Part of a Romance of Sussex,Alfred Ollivant,70463 downloads,https://www.gutenberg.org/ebooks/57641
The Landloper: The Romance of a Man on Foot,Holman Day,70462 downloads,https://www.gutenberg.org/ebooks/4712
Autobiography of Benjamin Franklin,Benjamin Franklin,70449 downloads,https://www.gutenberg.org/ebooks/20203
Cynthia's Chauffeur,Louis Tracy,70422 downloads,https://www.gutenberg.org/ebooks/31472
A Romance of Billy-Goat Hill,Alice Caldwell Hegan Rice,70419 downloads,https://www.gutenberg.org/ebooks/6635
Cameron of Lochiel,Philippe Aubert de Gaspé,70410 downloads,https://www.gutenberg.org/ebooks/53154
"The Hero of the People: A Historical Romance of Love, Liberty and Loyalty",Alexandre Dumas,70402 downloads,https://www.gutenberg.org/ebooks/42681
The call of Cthulhu,H. P. Lovecraft,70401 downloads,https://www.gutenberg.org/ebooks/68283
Moods,Louisa May Alcott,70383 downloads,https://www.gutenberg.org/ebooks/28203
The Silent Barrier,Louis Tracy,70377 downloads,https://www.gutenberg.org/ebooks/31635
Forest Days: A Romance of Old Times,G. P. R. James,70324 downloads,https://www.gutenberg.org/ebooks/49987
The Green Mouse,Robert W. Chambers,70317 downloads,https://www.gutenberg.org/ebooks/10441
Victorian Short Stories: Stories of Courtship,Unknown / Various,70186 downloads,https://www.gutenberg.org/ebooks/15381
On the Cross: A Romance of the Passion Play at Oberammergau,Wilhelmine von Hillern,70147 downloads,https://www.gutenberg.org/ebooks/36725
Aus dem Leben eines Taugenichts: Novelle (German),Freiherr von Joseph Eichendorff,69963 downloads,https://www.gutenberg.org/ebooks/35312
The Moonstone,Wilkie Collins,69917 downloads,https://www.gutenberg.org/ebooks/155
Doctor Cupid: A Novel,Rhoda Broughton,69896 downloads,https://www.gutenberg.org/ebooks/35548
India's Love Lyrics,Laurence Hope,69873 downloads,https://www.gutenberg.org/ebooks/8197
The Prairie Wife,Arthur Stringer,69842 downloads,https://www.gutenberg.org/ebooks/18875
The Boy with Wings,Berta Ruck,69784 downloads,https://www.gutenberg.org/ebooks/36223
"Dr. Mabuse, der Spieler :  Roman (German)",Norbert Jacques,69730 downloads,https://www.gutenberg.org/ebooks/50285
The Gay Adventure: A Romance,Richard Bird,69602 downloads,https://www.gutenberg.org/ebooks/33823
El crimen y el castigo (Spanish),Fyodor Dostoyevsky,69337 downloads,https://www.gutenberg.org/ebooks/61851
"Dainty's Cruel Rivals; Or, The Fatal Birthday",Mrs. Alex. McVeigh Miller,69126 downloads,https://www.gutenberg.org/ebooks/31257
Adventures of Sherlock Holmes,Arthur Conan Doyle,68916 downloads,https://www.gutenberg.org/ebooks/48320
"Chambers's Edinburgh Journal, No. 452",Various,68776 downloads,https://www.gutenberg.org/ebooks/22187
Trial by water,Sewell Peaslee Wright,68546 downloads,https://www.gutenberg.org/ebooks/76668
Twenty-Five Ghost Stories,Unknown / Various,68249 downloads,https://www.gutenberg.org/ebooks/53419
The secret of Father Brown,G. K. Chesterton,68107 downloads,https://www.gutenberg.org/ebooks/70175
Poirot Investigates,Agatha Christie,68034 downloads,https://www.gutenberg.org/ebooks/61262
The Murder on the Links,Agatha Christie,67903 downloads,https://www.gutenberg.org/ebooks/58866
The Valley of Fear,Arthur Conan Doyle,67883 downloads,https://www.gutenberg.org/ebooks/3289
Romeo and Juliet,William Shakespeare,67799 downloads,https://www.gutenberg.org/ebooks/1112
The Return of Sherlock Holmes,Arthur Conan Doyle,67738 downloads,https://www.gutenberg.org/ebooks/221
"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,67633 downloads,https://www.gutenberg.org/ebooks/84
The case-book of Sherlock Holmes,Arthur Conan Doyle,67626 downloads,https://www.gutenberg.org/ebooks/69700
The Secret Adversary,Agatha Christie,67561 downloads,https://www.gutenberg.org/ebooks/1155
Robert Orange,John Oliver Hobbes,67552 downloads,https://www.gutenberg.org/ebooks/27997
"The Rover Boys on the Farm; or, Last Days at Putnam Hall",Edward Stratemeyer,67336 downloads,https://www.gutenberg.org/ebooks/22163
That Girl Montana,Marah Ellis Ryan,67301 downloads,https://www.gutenberg.org/ebooks/27475
A Journey to the Centre of the Earth,Jules Verne,67257 downloads,https://www.gutenberg.org/ebooks/18857
Celebrated Crimes (Complete),Alexandre Dumas,67231 downloads,https://www.gutenberg.org/ebooks/2760
At the mountains of madness,H. P. Lovecraft,67204 downloads,https://www.gutenberg.org/ebooks/70652
His last bow :  Some later reminiscences of Sherlock Holmes,Arthur Conan Doyle,67160 downloads,https://www.gutenberg.org/ebooks/2350
The Crack of Doom,Robert Cromie,67077 downloads,https://www.gutenberg.org/ebooks/26563
The Secret Agent: A Simple Tale,Joseph Conrad,67030 downloads,https://www.gutenberg.org/ebooks/974
The Thirty-Nine Steps,John Buchan,66965 downloads,https://www.gutenberg.org/ebooks/558
Lady Audley's Secret,M. E. Braddon,66939 downloads,https://www.gutenberg.org/ebooks/8954
"The Lives of the Twelve Caesars, Complete",Suetonius,66655 downloads,https://www.gutenberg.org/ebooks/6400
